,locus_ID,20190709-RC1-AM-BOTTOMTPM,20190709-RC7-AM-BOTTOMTPM,20190716-RC1-AM-BOTTOMTPM,20190716-RC1-AM-TOPTPM,20190716-RC2-AM-BOTTOMTPM,20190716-RC7-AM-BOTTOMTPM,20190716-RC9-AM-BOTTOMTPM,20190723-RC1-AM-BOTTOMTPM,20190723-RC2-AM-BOTTOMTPM,20190723-RC7-AM-BOTTOMTPM,20190723-RC9-AM-BOTTOMTPM,20190730-RC1-AM-BOTTOMTPM,20190730-RC2-AM-BOTTOM-BUOYTPM,20190730-RC7-AM-BOTTOMTPM,20190730-RC9-AM-BOTTOMTPM
97,NODE_405_length_17140_cov_7.864150,112.278629,174.16474,117.559485,106.481661,92.750429,199.567625,148.716143,168.153303,177.24159,182.294076,214.491447,50.012918,129.511155,106.979369,130.830076
98,NODE_448_length_16044_cov_8.541747,135.026318,227.138396,148.505584,126.475455,124.636141,163.32482,184.071196,201.675486,233.909053,189.454469,233.578255,80.194274,81.154333,140.349565,143.442597
99,NODE_461_length_15725_cov_9.507594,153.103038,184.293869,157.372985,67.760263,147.421672,200.682163,217.72485,170.01543,224.378903,209.907353,249.29991,141.851421,151.017598,183.009934,182.977658
100,NODE_464_length_15640_cov_9.716843,177.034959,181.484814,193.39924,100.576221,191.827239,280.443915,257.552387,242.927296,235.210888,253.641654,285.8505,104.229685,97.965222,146.67826,195.02122
101,NODE_505_length_14683_cov_9.024747,123.063041,215.838793,143.660659,100.286434,151.789257,185.90182,224.184174,206.133965,156.050033,234.828072,246.094278,58.47149,99.193864,150.655616,145.117427
102,NODE_522_length_14236_cov_7.587053,71.949461,189.077254,103.105955,78.494978,127.839049,109.06149,155.772065,237.470153,203.23369,195.454384,256.32808,72.393277,96.954456,123.177562,141.632051
103,NODE_537_length_14023_cov_8.144187,150.406388,185.582106,189.745792,105.060191,149.270564,240.562246,153.370737,145.675573,187.595316,186.052607,223.436571,122.508691,92.973617,104.224611,82.175966
104,NODE_559_length_13668_cov_9.229487,145.537244,181.701158,161.150383,111.53876,149.857677,188.09597,167.235577,262.919733,220.0264,218.52015,294.826005,75.436344,106.639793,125.299289,147.586898
105,NODE_590_length_13211_cov_7.800091,100.420968,156.340425,104.239175,88.506912,99.951616,194.673333,223.994559,245.445742,167.948764,208.601816,239.9475,71.57054,92.943175,110.706991,109.110198
106,NODE_597_length_13107_cov_7.789764,119.632271,159.879864,147.104879,116.370973,104.227546,171.705553,159.080969,150.601649,192.252731,210.276651,226.100635,52.469272,111.255657,137.103617,136.383323
107,NODE_600_length_13035_cov_7.755855,185.078489,135.509229,169.058233,93.617309,157.214294,221.99712,206.412692,129.808884,184.670867,151.355112,208.858683,79.143885,111.877162,144.282629,132.721859
108,NODE_603_length_12996_cov_8.381655,88.179283,237.285495,105.981816,70.426275,140.16999,239.164797,186.33538,195.304822,196.808656,205.396433,201.537876,92.614978,106.310576,154.368912,128.687563
109,NODE_616_length_12826_cov_6.960536,122.285289,149.417781,121.721722,87.231658,131.394793,171.330689,204.570366,98.962839,155.452763,156.113889,190.806053,87.15348,53.867953,91.256717,112.426355
110,NODE_666_length_12145_cov_7.589330,188.875648,177.643029,158.888349,83.806677,123.837987,185.467122,194.011043,180.118485,167.380632,219.973074,198.8087,63.764155,113.850571,117.105828,114.061187
111,NODE_688_length_11899_cov_9.588484,121.78861,186.402262,270.35169,85.562585,149.415861,225.414007,288.620566,183.892268,281.645932,241.667958,211.674216,79.566512,167.892998,179.338415,145.563904
112,NODE_705_length_11756_cov_8.143663,154.112283,196.350128,172.026525,99.610159,127.985288,209.9343,223.429054,198.169839,243.470876,195.223012,226.026423,43.93491,84.98049,142.391481,137.534827
113,NODE_710_length_11678_cov_9.440936,129.296225,241.322823,244.039054,95.924392,144.468788,229.73234,201.869851,266.015438,203.190534,243.814504,301.439434,81.09259,85.555294,100.34877,148.356528
114,NODE_714_length_11632_cov_9.099853,124.621864,203.626803,142.267064,113.819671,172.488432,313.686809,225.841797,200.311412,207.242993,252.28523,228.469756,81.417625,92.505475,176.31423,203.56681
115,NODE_717_length_11606_cov_7.915505,145.722291,173.088293,166.354457,70.201949,153.234172,184.94014,197.334533,164.263364,188.240348,235.33318,246.832064,51.928861,72.847777,108.192599,159.24227
116,NODE_721_length_11538_cov_7.623966,99.473687,161.128162,71.719937,88.276783,150.195878,181.392583,186.835546,232.566863,166.510355,181.331894,239.332417,74.62727,79.94468,126.978779,135.163559
117,NODE_725_length_11518_cov_7.371805,115.382785,140.584458,103.777489,75.167368,106.905719,200.348561,222.257517,177.797703,137.367499,171.559297,215.778502,89.710353,120.127924,109.03053,145.431276
118,NODE_735_length_11430_cov_9.325538,142.711354,183.661573,104.586053,124.771601,135.671375,277.03992,265.252864,216.258632,201.066889,236.463642,208.402554,120.547418,114.338962,164.822313,171.836823
119,NODE_736_length_11403_cov_8.111121,153.650505,202.51272,201.608976,89.336558,115.997121,178.860308,118.173001,204.390563,145.379948,186.056742,196.792756,60.418398,101.129304,132.174381,167.183274
120,NODE_738_length_11382_cov_8.004149,90.239461,181.811906,145.429507,134.255554,112.20644,179.194477,159.831801,186.157241,165.513459,194.065188,254.792748,75.664269,94.563764,125.064867,147.19353
121,NODE_759_length_11128_cov_7.081369,86.897204,121.31789,148.789863,96.154843,131.200384,168.863483,139.302964,101.582621,209.98682,216.844968,207.934412,46.449485,124.394094,131.723508,119.442817
122,NODE_782_length_10951_cov_8.023954,126.962683,205.511748,109.217943,102.385599,104.178534,201.050706,203.144543,187.13787,168.677822,180.568442,217.654227,102.290628,84.287923,95.630872,158.350059
123,NODE_809_length_10694_cov_7.912398,135.713442,188.067824,172.117451,85.813365,179.282042,236.086032,189.17781,138.819057,243.317326,190.411515,174.494287,104.785171,57.561091,160.659339,145.991525
124,NODE_811_length_10669_cov_8.732712,136.036136,225.09259,138.020757,95.574961,132.641434,246.71677,227.552859,145.775377,194.409697,190.864218,246.168836,105.034339,108.18346,157.113533,189.698414
125,NODE_826_length_10529_cov_8.099484,132.127298,228.130526,113.652395,58.119072,86.728366,193.910199,243.434346,147.743166,125.384598,196.203093,216.664887,65.508848,95.023239,210.984966,159.300572
126,NODE_829_length_10494_cov_7.543443,121.046352,163.093293,140.352502,82.614153,95.723707,199.685957,160.696028,148.243443,172.538051,183.003319,247.04407,65.730622,117.347255,111.841107,99.21105
127,NODE_840_length_10403_cov_6.651624,133.751797,187.63521,150.446197,44.125385,74.624213,160.132384,201.031474,135.96378,152.311191,131.47762,216.007193,74.603616,59.194193,116.864081,150.138485
